Entity	Label	Description
http://dbpedia.org/resource/Reference	Reference	Reference is a relationship between objects in which one object designates, or acts as a means by which to connect to or link to, another object. The first object in this relation is said to refer to the second object. It is called a name for the second object. The second object, the one to which the first object refers, is called the referent of the first object. A name is usually a phrase or expression, or some other symbolic representation. Its referent may be anything – a material object, a person, an event, an activity, or an abstract concept.
http://dbpedia.org/resource/Lawyer	Lawyer	A lawyer is a person who practices law. The role of a lawyer varies greatly across different legal jurisdictions. A lawyer can be classified as an advocate, attorney, barrister, canon lawyer, civil law notary, counsel, counselor, solicitor, legal executive, or public servant — with each role having different functions and privileges. Working as a lawyer generally involves the practical application of abstract legal theories and knowledge to solve specific problems. Some lawyers also work primarily in advancing the interests of the law and legal profession.
http://dbpedia.org/resource/Biological_database	Biological database	Biological databases are libraries of biological sciences, collected from scientific experiments, published literature, high-throughput experiment technology, and computational analysis. They contain information from research areas including genomics, proteomics, metabolomics, microarray gene expression, and phylogenetics. Information contained in biological databases includes gene function, structure, localization (both cellular and chromosomal), clinical effects of mutations as well as similarities of biological sequences and structures.
http://dbpedia.org/resource/Biomolecule	Biomolecule	A biomolecule or biological molecule is a loosely used term for molecules present in organisms that are essential to one or more typically biological processes, such as cell division, morphogenesis, or development. Biomolecules include large macromolecules (or polyelectrolytes) such as proteins, carbohydrates, lipids, and nucleic acids, as well as small molecules such as primary metabolites, secondary metabolites and natural products. A more general name for this class of material is biological materials. Biomolecules are an important element of living organisms, those biomolecules are often endogenous, produced within the organism but organisms usually need exogenous biomolecules, for example certain nutrients, to survive.
http://dbpedia.org/resource/Blazon	Blazon	In heraldry and heraldic vexillology, a blazon is a formal description of a coat of arms, flag or similar emblem, from which the reader can reconstruct the appropriate image. The verb to blazon means to create such a description. The visual depiction of a coat of arms or flag has traditionally had considerable latitude in design, but a verbal blazon specifies the essentially distinctive elements. A coat of arms or flag is therefore primarily defined not by a picture but rather by the wording of its blazon (though in modern usage flags are often additionally and more precisely defined using geometrical specifications). Blazon is also the specialized language in which a blazon is written, and, as a verb, the act of writing such a description. Blazonry is the art, craft or practice of creatin
http://dbpedia.org/resource/Playwright	Playwright	A playwright or dramatist is a person who writes plays.
http://dbpedia.org/resource/Cipher	Cipher	"In cryptography, a cipher (or cypher) is an algorithm for performing encryption or decryption—a series of well-defined steps that can be followed as a procedure. An alternative, less common term is encipherment. To encipher or encode is to convert information into cipher or code. In common parlance, ""cipher"" is synonymous with ""code"", as they are both a set of steps that encrypt a message; however, the concepts are distinct in cryptography, especially classical cryptography. Most modern ciphers can be categorized in several ways"
http://dbpedia.org/resource/File_system	File system	"In computing, file system or filesystem (often abbreviated to fs) is a method and data structure that the operating system uses to control how data is stored and retrieved. Without a file system, data placed in a storage medium would be one large body of data with no way to tell where one piece of data stopped and the next began, or where any piece of data was located when it was time to retrieve it. By separating the data into pieces and giving each piece a name, the data are easily isolated and identified. Taking its name from the way a paper-based data management system is named, each group of data is called a ""file"". The structure and logic rules used to manage the groups of data and their names is called a ""file system."""
http://dbpedia.org/resource/National_anthem	National anthem	A national anthem is a patriotic musical composition symbolizing and evoking eulogies of the history and traditions of a country or nation. The majority of national anthems are marches or hymns in style. American, Central Asian, and European nations tend towards more ornate and operatic pieces, while those in the Middle East, Oceania, Africa, and the Caribbean use a more simplistic fanfare. Some countries that are devolved into multiple constituent states have their own official musical compositions for them (such as with the United Kingdom, Russia, and the former Soviet Union); their constituencies' songs are sometimes referred to as national anthems even though they are not sovereign states.
http://dbpedia.org/resource/Ocean	Ocean	The ocean (also the sea or the world ocean) is the body of salt water that covers approximately 70.8% of the surface of Earth and contains 97% of Earth's water. An ocean can also refer to any of the large bodies of water into which the world ocean is conventionally divided. Separate names are used to identify five different areas of the ocean: Pacific (the largest), Atlantic, Indian, Southern (Antarctic), and Arctic (the smallest). Seawater covers approximately 361,000,000 km2 (139,000,000 sq mi) of the planet. The ocean is the principal component of Earth's hydrosphere, and therefore integral to life on Earth. Acting as a huge heat reservoir, the ocean influences climate and weather patterns, the carbon cycle, and the water cycle.
http://dbpedia.org/resource/Medicine	Medicine	Medicine is the science and practice of caring for a patient, managing the diagnosis, prognosis, prevention, treatment, palliation of their injury or disease, and promoting their health. Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness. Contemporary medicine applies biomedical sciences, biomedical research, genetics, and medical technology to diagnose, treat, and prevent injury and disease, typically through pharmaceuticals or surgery, but also through therapies as diverse as psychotherapy, external splints and traction, medical devices, biologics, and ionizing radiation, amongst others.
http://dbpedia.org/ontology/ConcentrationCamp	Concentration camp	"camp in which people are imprisoned or confined, commonly in large groups, without trial.
Includes concentration, extermination, transit, detention, internment, (forced) labor, prisoner-of-war, Gulag; Nazi camps related to the Holocaust"
http://dbpedia.org/ontology/Anime	Anime	A style of animation originating in Japan
http://dbpedia.org/ontology/Food	Food	Food is any eatable or drinkable substance that is normally consumed by humans.
http://dbpedia.org/ontology/Pandemic	Pandemic	Global epidemic of infectious disease
http://dbpedia.org/ontology/Archive	Archive	Collection of documents pertaining to a person or organisation.
http://dbpedia.org/ontology/Capital	Capital	A municipality enjoying primary status in a state, country, province, or other region as its seat of government.
http://dbpedia.org/ontology/CapitalOfRegion	Capital of region	seat of a first order administration division.
http://dbpedia.org/ontology/CardinalDirection	Cardinal direction	One of the four main directions on a compass or any other system to determine a geographical position
http://dbpedia.org/ontology/ChristianDoctrine	Christian Doctrine	Tenets of the Christian faith, e.g. Trinity, Nicene Creed
http://dbpedia.org/ontology/Community	Community	A community is a group of living organisms, people, plants or animals that live in a common environment.
http://dbpedia.org/ontology/ControlledDesignationOfOriginWine	Controlled designation of origin wine	A quality assurance label for wines
http://dbpedia.org/ontology/Desert	Desert	Barren land where there is less rain.
http://dbpedia.org/ontology/DocumentType	Document Type	type of document (official, informal etc.)
http://dbpedia.org/ontology/Employer	Employer	a person, business, firm, etc, that employs workers.
http://dbpedia.org/ontology/EmployersOrganisation	Employers' Organisation	An employers' organisation is an organisation of entrepreneurs who work together to coordinate their actions in the field of labour relations
http://dbpedia.org/ontology/FileSystem	File system	File classification system
http://dbpedia.org/ontology/GovernmentType	Government Type	a form of government
http://dbpedia.org/ontology/HistoricalCountry	Historical country	ایک ایسی جگہ جو ایک ملک ہوا کرتی تھی۔
http://dbpedia.org/ontology/HistoricalDistrict	Historical district	a place which used to be a district.
http://dbpedia.org/ontology/HistoricalProvince	Historical province	A place which used to be a province.
http://dbpedia.org/ontology/HistoricalRegion	Historical region	a place which used to be a region.
http://dbpedia.org/ontology/HistoricalSettlement	Historical settlement	A place which used to be a city or town or village.
http://dbpedia.org/ontology/Hormone	Hormone	A hormone is any member of a class of signaling molecules produced by glands in multicellular organisms that are transported by the circulatory system to target distant organs to regulate physiology and behaviour.
http://dbpedia.org/ontology/Instrument	Instrument	Describes all musical instrument
http://dbpedia.org/ontology/Lawyer	Lawyer	a person who is practicing law.
http://dbpedia.org/ontology/Manor	Manor	Estate and/or (cluster of) lands that are under the jurisdiction of a feudal lord. Hence it is also the shorthand expression for the physical estate itself: a manor is a stately house in the countryside with the surrounding grounds
http://dbpedia.org/ontology/MathematicalConcept	Mathematical concept	Mathematical concepts, e.g. Fibonacci numbers, Imaginary numbers, Symmetry
http://dbpedia.org/ontology/Medicine	Medicine	The science and art of healing the human body and identifying the causes of disease
http://dbpedia.org/ontology/Mill	Mill	a unit operation designed to break a solid material into smaller pieces
http://dbpedia.org/ontology/MovieDirector	Movie director	a person who oversees making of film.
http://dbpedia.org/ontology/NationalAnthem	National anthem	Patriotic musical composition which is the offcial national song.
http://dbpedia.org/ontology/NobleFamily	Noble family	Family deemed to be of noble descent
http://dbpedia.org/ontology/Ocean	Ocean	A body of saline water that composes much of a planet's hydrosphere.
http://dbpedia.org/ontology/Painting	Painting	Describes a painting to assign picture entries in wikipedia to artists.
http://dbpedia.org/ontology/PhilosophicalConcept	Philosophical concept	Philosophical concepts, e.g. Existentialism, Cogito Ergo Sum
http://dbpedia.org/ontology/PlayWright	Playwright	A person who writes dramatic literature or drama.
http://dbpedia.org/ontology/PoliticalConcept	Political concept	Political concepts, e.g. Capitalism, Democracy
http://dbpedia.org/ontology/Port	Port	a location on a coast or shore containing one or more harbors where ships can dock and transfer people or cargo to or from land.
http://dbpedia.org/ontology/Producer	Producer	a person who manages movies or music recordings.
http://dbpedia.org/ontology/Pyramid	Pyramid	a structure whose shape is roughly that of a pyramid in the geometric sense.
http://dbpedia.org/ontology/Reference	Reference	Reference to a work (book, movie, website)  providing info about the subject
http://dbpedia.org/ontology/pandemic	Pandemic	Global epidemic of infectious disease
http://dbpedia.org/ontology/اعضاء_کی_خوراک	Hormone	A hormone is any member of a class of signaling molecules produced by glands in multicellular organisms that are transported by the circulatory system to target distant organs to regulate physiology and behaviour.
http://dbpedia.org/ontology/انیمے	Anime	A style of animation originating in Japan
http://dbpedia.org/ontology/برادری	Community	A community is a group of living organisms, people, plants or animals that live in a common environment.
http://dbpedia.org/ontology/بندرگاہ	Port	a location on a coast or shore containing one or more harbors where ships can dock and transfer people or cargo to or from land.
http://dbpedia.org/ontology/تاریخی_آبادکاری	Historical settlement	A place which used to be a city or town or village.
http://dbpedia.org/ontology/تاریخی_صوبہ	Historical province	A place which used to be a province.
http://dbpedia.org/ontology/تاریخی_ضلع	Historical district	a place which used to be a district.
http://dbpedia.org/ontology/تاریخی_علاقہ	Historical region	a place which used to be a region.
http://dbpedia.org/ontology/تاریخی_ملک	Historical country	ایک ایسی جگہ جو ایک ملک ہوا کرتی تھی۔
http://dbpedia.org/ontology/تنظیم_کے_رکن	Organisation member	A member of an organisation.
http://dbpedia.org/ontology/جاگیر	Manor	Estate and/or (cluster of) lands that are under the jurisdiction of a feudal lord. Hence it is also the shorthand expression for the physical estate itself: a manor is a stately house in the countryside with the surrounding grounds
http://dbpedia.org/ontology/حراستی_کیمپ	Concentration camp	"camp in which people are imprisoned or confined, commonly in large groups, without trial.
Includes concentration, extermination, transit, detention, internment, (forced) labor, prisoner-of-war, Gulag; Nazi camps related to the Holocaust"
http://dbpedia.org/ontology/حکومت_کی_قسم	Government Type	a form of government
http://dbpedia.org/ontology/حیاتیاتی_مرکبات	Biomolecule	equivalent to http://ccdb.ucsd.edu/NIF/BIRNLex-OBO-UBO.owl#birnlex_22.
http://dbpedia.org/ontology/خوراک	Food	Food is any eatable or drinkable substance that is normally consumed by humans.
http://dbpedia.org/ontology/دارالحکومت	Capital	A municipality enjoying primary status in a state, country, province, or other region as its seat of government.
http://dbpedia.org/ontology/دوائی	Medicine	The science and art of healing the human body and identifying the causes of disease
http://dbpedia.org/ontology/ریاضیاتی_تصور	Mathematical concept	Mathematical concepts, e.g. Fibonacci numbers, Imaginary numbers, Symmetry
http://dbpedia.org/ontology/ساز	Instrument	Describes all musical instrument
http://dbpedia.org/ontology/سیاسی_تصور	Political concept	Political concepts, e.g. Capitalism, Democracy
http://dbpedia.org/ontology/شریف_خاندان	Noble family	Family deemed to be of noble descent
http://dbpedia.org/ontology/عالمی_وباء	Pandemic	Global epidemic of infectious disease
http://dbpedia.org/ontology/علاقے_کا_دارالحکومت	Capital of region	seat of a first order administration division.
http://dbpedia.org/ontology/عیسائی_نظریہ	Christian Doctrine	Tenets of the Christian faith, e.g. Trinity, Nicene Creed
http://dbpedia.org/ontology/فائل_سسٹم	File system	File classification system
http://dbpedia.org/ontology/فلسفیانہ_تصور	Philosophical concept	Philosophical concepts, e.g. Existentialism, Cogito Ergo Sum
http://dbpedia.org/ontology/فلم_کا_ہدایت_کار	Movie director	a person who oversees making of film.
http://dbpedia.org/ontology/قومی_ترانہ	National anthem	Patriotic musical composition which is the offcial national song.
http://dbpedia.org/ontology/مبدہ	Producer	a person who manages movies or music recordings.
http://dbpedia.org/ontology/محفوظ_شدہ_دستاویزات	Archive	Collection of documents pertaining to a person or organisation.
http://dbpedia.org/ontology/مخروطی_مصری_مینار	Pyramid	a structure whose shape is roughly that of a pyramid in the geometric sense.
http://dbpedia.org/ontology/وکیل	Lawyer	a person who is practicing law.
http://dbpedia.org/ontology/چکی	Mill	a unit operation designed to break a solid material into smaller pieces
http://dbpedia.org/ontology/ڈرامہ_نگار	Playwright	A person who writes dramatic literature or drama.
http://dbpedia.org/ontology/ہارمون	Hormone	A hormone is any member of a class of signaling molecules produced by glands in multicellular organisms that are transported by the circulatory system to target distant organs to regulate physiology and behaviour.
http://dbpedia.org/ontology/ہوا_کی_سمت	Cardinal direction	One of the four main directions on a compass or any other system to determine a geographical position
http://dbpedia.org/ontology/Actor	actor	An actor or actress is a person who acts in a dramatic production and who works in film, television, theatre, or radio in that capacity.
http://dbpedia.org/resource/Robot	Robot	A robot is a machine—especially one programmable by a computer—capable of carrying out a complex series of actions automatically. A robot can be guided by an external control device, or the control may be embedded within. Robots may be constructed to evoke human form, but most robots are task-performing machines, designed with an emphasis on stark functionality, rather than expressive aesthetics.
http://dbpedia.org/resource/Sculpture	Sculpture	Sculpture is the branch of the visual arts that operates in three dimensions. Sculpture is the three-dimensional art work which is physically presented in the dimensions of height, width and depth. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast.
http://dbpedia.org/ontology/Agent	agent	Analogous to a foaf:Agent, an agent is an entity that acts. This is intended to be the super class of Person and Organisation.
http://dbpedia.org/resource/Sailor	Sailor	A sailor, seaman, mariner, or seafarer is a person who works aboard a watercraft as part of its crew, and may work in any one of a number of different fields that are related to the operation and maintenance of a ship.
http://dbpedia.org/resource/Theatre_director	Theatre director	A theatre director or stage director is a professional in the theatre field who oversees and orchestrates the mounting of a theatre production such as a play, opera, dance, drama, musical theatre performance, etc. by unifying various endeavors and aspects of production. The director's function is to ensure the quality and completeness of theatre production and to lead the members of the creative team into realizing their artistic vision for it. The director thereby collaborates with a team of creative individuals and other staff to coordinate research and work on all the aspects of the production which includes the Technical and the Performance aspects.The technical aspects include: stagecraft, costume design, theatrical properties (props), lighting design, set design, and sound design for
http://dbpedia.org/resource/Spreadsheet	Spreadsheet	A spreadsheet is a computer application for computation, organization, analysis and storage of data in tabular form. Spreadsheets were developed as computerized analogs of paper accounting worksheets. The program operates on data entered in cells of a table. Each cell may contain either numeric or text data, or the results of formulas that automatically calculate and display a value based on the contents of other cells. The term spreadsheet may also refer to one such electronic document.
http://dbpedia.org/resource/Watermill	Watermill	A watermill or water mill is a mill that uses hydropower. It is a structure that uses a water wheel or water turbine to drive a mechanical process such as milling (grinding), rolling, or hammering. Such processes are needed in the production of many material goods, including flour, lumber, paper, textiles, and many metal products. These watermills may comprise gristmills, sawmills, paper mills, textile mills, hammermills, trip hammering mills, rolling mills, wire drawing mills.
http://dbpedia.org/resource/Tank	Tank	A tank is an armoured fighting vehicle intended as a primary offensive weapon in front-line ground combat. Tank designs are a balance of heavy firepower, strong armour, and good battlefield mobility provided by tracks and a powerful engine; usually their main armament is mounted in a turret. They are a mainstay of modern 20th and 21st century ground forces and a key part of combined arms combat.
http://dbpedia.org/resource/Television_director	Television director	A television director is in charge of the activities involved in making a television program or section of a program. They are generally responsible for decisions about the editorial content and creative style of a program, and ensuring the producer's vision is delivered. Their duties may include originating program ideas, finding contributors, writing scripts, planning 'shoots', ensuring safety, leading the crew on location, directing contributors and presenters, and working with an editor to assemble the final product. The work of a television director can vary widely depending on the nature of the program, the practices of the production company, whether the program content is factual or drama, and whether it is live or recorded.
http://dbpedia.org/resource/Treadmill	Treadmill	A treadmill is a device generally used for walking, running, or climbing while staying in the same place. Treadmills were introduced before the development of powered machines to harness the power of animals or humans to do work, often a type of mill operated by a person or animal treading the steps of a treadwheel to grind grain. In later times, treadmills were used as punishment devices for people sentenced to hard labor in prisons. The terms treadmill and treadwheel were used interchangeably for the power and punishment mechanisms.
http://dbpedia.org/resource/Water_tower	Water tower	A water tower is an elevated structure supporting a water tank constructed at a height sufficient to pressurize a distribution system for potable water, and to provide emergency storage for fire protection. Water towers often operate in conjunction with underground or surface service reservoirs, which store treated water close to where it will be used. Other types of water towers may only store raw (non-potable) water for fire protection or industrial purposes, and may not necessarily be connected to a public water supply.
http://dbpedia.org/resource/Windmill	Windmill	A windmill is a structure that converts wind power into rotational energy using vanes called sails or blades, specifically to mill grain (gristmills), but the term is also extended to windpumps, wind turbines, and other applications, in some parts of the English speaking world. The term wind engine is sometimes used to describe such devices.
http://dbpedia.org/resource/World_Heritage_Site	World Heritage Site	"A World Heritage Site is a landmark or area with legal protection by an international convention administered by the United Nations Educational, Scientific and Cultural Organization (UNESCO). World Heritage Sites are designated by UNESCO for having cultural, historical, scientific or other form of significance. The sites are judged to contain ""cultural and natural heritage around the world considered to be of outstanding value to humanity""."
http://dbpedia.org/resource/Satellite	Satellite	A satellite or artificial satellite is an object intentionally placed into orbit in outer space. Except for passive satellites, most satellites have an electricity generation system for equipment on board, such as solar panels or radioisotope thermoelectric generators (RTGs). Most satellites also have a method of communication to ground stations, called transponders. Many satellites use a standardized bus to save cost and work, the most popular of which is small CubeSats. Similar satellites can work together as a group, forming constellations. Because of the high launch cost to space, satellites are designed to be as lightweight and robust as possible. Most communication satellites are radio relay stations in orbit and carry dozens of transponders, each with a bandwidth of tens of megahert
